Field Name,Field Alias,Domain Name,Domain Description,Domain Type,Option Name,Option Code,Min Value,Max Value
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Malawi (MW),mwi,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Malaysia (MY),mys,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Mayotte (YT),myt,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Namibia (NA),nam,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,New Caledonia (NC),ncl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Niger (NE),ner,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Norfolk Island (NF),nfk,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Nigeria (NG),nga,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Nicaragua (NI),nic,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Niue (NU),niu,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Netherlands (NL),nld,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Norway (NO),nor,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Nepal (NP),npl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Nauru (NR),nru,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,New Zealand (NZ),nzl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Oman (OM),omn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Pakistan (PK),pak,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Panama (PA),pan,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Pitcairn Islands (PN),pcn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Peru (PE),per,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Philippines (PH),phl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Etorofu, Habomai, Kunashiri and Shikotan Islands (PJ)",pj,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Paulau, Republic Of (PW)",plw,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Papua New Guinea (PG),png,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Poland (PL),pol,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Puerto Rico (PR),pri,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Korea, Democratic People’s Republic of (KP)",prk,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Portugal (PT),prt,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Paraguay (PY),pry,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,French Polynesia (PF),pyf,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Qatar (QA),qat,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Reunion (RE),reu,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Romania (RO),rou,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Russia (RU),rus,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Rwanda (RW),rwa,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Saudi Arabia (SA),sau,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Sudan (SD),sdn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Senegal (SN),sen,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Singapore (SG),sgp,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,South Georgia and South Sandwich Islands (GS),sgs,,
