areaSizeUom,buildingCondition,buildingConditionIndex,buildingCustodialType,buildingOpStatus,country,dataCollection,elevationUom,facilityConditionCode,facilityGrossSqFtUom,flexFieldYn,hasGiantVoice,hasMassNotificationDevice,heightMaxUom,installationId,installationName,isHeritageAsset,isRealProperty,majorCommand,missionDependencyIndex,owner,perimeterSizeUom,roadPostDirectional,roadPrefixDirectional,rpInterest,rpaConstructionType,rpaType,rpsuid,siteId,stateName,verticalDatumType,visitorMapName
,,,,,pri,,,,,,,,,qjkl,nellisAfb,,,,,,,,,,,,1580,curz0001,,,
,,,,,prk,,,,,,,,,qjvf,newarkAfb,,,,,,,,,,,,1582,curz0002,,,
,,,,,prt,,,,,,,,,qkka,newCastleCountyAgs,,,,,,,,,,,,1584,cuys0001,,,
,,,,,pry,,,,,,,,,qmsn,niagaraFallsIapArs,,,,,,,,,,,,1585,cvvm0001,,,
,,,,,pyf,,,,,,,,,qndr,northHighlandsAngs,,,,,,,,,,,,1586,cvyz0001,,,
,,,,,qat,,,,,,,,,qseu,northSmithfieldAngs,,,,,,,,,,,,1587,cwvc0001,,,
,,,,,reu,,,,,,,,,quug,nortonAfb,,,,,,,,,,,,1589,cwvd0001,,,
,,,,,rou,,,,,,,,,qyzh,offuttAfb,,,,,,,,,,,,1590,cwve0001,,,
,,,,,rus,,,,,,,,,rdrd,ohareArs,,,,,,,,,,,,1593,cwvf0001,,,
,,,,,rwa,,,,,,,,,rkmf,onizukaAfs,,,,,,,,,,,,1594,cypr0001,,,
,,,,,sau,,,,,,,,,rqlh,ontarioAngs,,,,,,,,,,,,1595,cypr0002,,,
,,,,,sdn,,,,,,,,,rrrr,orangeAngs,,,,,,,,,,,,1596,cyql0001,,,
,,,,,sen,,,,,,,,,rrtc,osanAb,,,,,,,,,,,,1597,cyqy0001,,,
,,,,,sgp,,,,,,,,,rvkq,other,,,,,,,,,,,,1598,cyrb0001,,,
,,,,,sgs,,,,,,,,,rzjq,otisAngb,,,,,,,,,,,,1599,cytl0001,,,
,,,,,shn,,,,,,,,,sacb,paineFieldAngs,,,,,,,,,,,,1600,cyux0001,,,
,,,,,slb,,,,,,,,,saej,patrickSfb,,,,,,,,,,,,1601,cywu0001,,,
,,,,,sle,,,,,,,,,saxc,peaseAngs,,,,,,,,,,,,1602,czqz0001,,,
