Field Name,Field Alias,Domain Type,Domain Name,Option Name,Option Code,Min Value,Max Value
country,Country,CodedValue,CountryCode,Tunisia (TN),tun,,
country,Country,CodedValue,CountryCode,Turkey (TR),tur,,
country,Country,CodedValue,CountryCode,Tuvalu (TV),tuv,,
country,Country,CodedValue,CountryCode,Taiwan (TW),twn,,
country,Country,CodedValue,CountryCode,"Tanzania, United Republic of (TZ)",tza,,
country,Country,CodedValue,CountryCode,Uganda (UG),uga,,
country,Country,CodedValue,CountryCode,Ukraine (UA),ukr,,
country,Country,CodedValue,CountryCode,Uruguay (UY),ury,,
country,Country,CodedValue,CountryCode,United States (US),usa,,
country,Country,CodedValue,CountryCode,Uzbekistan (UZ),uzb,,
country,Country,CodedValue,CountryCode,Vatican City (VA),vat,,
country,Country,CodedValue,CountryCode,Saint Vincent and The Grenadines (VC),vct,,
country,Country,CodedValue,CountryCode,Venezuela (VE),ven,,
country,Country,CodedValue,CountryCode,"Virgin Islands, British (VG)",vgb,,
country,Country,CodedValue,CountryCode,"Virgin Islands, U.S. (VI)",vir,,
country,Country,CodedValue,CountryCode,Vietnam (VN),vnm,,
country,Country,CodedValue,CountryCode,Vanuatu (VU),vut,,
country,Country,CodedValue,CountryCode,Wallis And Futuna (WF),wlf,,
country,Country,CodedValue,CountryCode,Samoa (WS),wsm,,
country,Country,CodedValue,CountryCode,Ashmore And Cartier Islands (XA),xac,,
country,Country,CodedValue,CountryCode,Bassas Da India (QS),xbi,,
country,Country,CodedValue,CountryCode,Baker Island (XB),xbk,,
country,Country,CodedValue,CountryCode,Coral Sea Islands (XC),xcs,,
country,Country,CodedValue,CountryCode,Europa Island (XE),xeu,,
country,Country,CodedValue,CountryCode,Glorioso Islands (QX),xgl,,
country,Country,CodedValue,CountryCode,Gaza Strip (XG),xgz,,
country,Country,CodedValue,CountryCode,Howland Island (XH),xho,,
country,Country,CodedValue,CountryCode,Johnston Atoll (XU),xja,,
country,Country,CodedValue,CountryCode,Jan Mayen (XJ),xjm,,
country,Country,CodedValue,CountryCode,Juan De Nova Island (QU),xjn,,
country,Country,CodedValue,CountryCode,Jarvis Island (XQ),xjv,,
country,Country,CodedValue,CountryCode,Kingman Reef (XM),xkr,,
country,Country,CodedValue,CountryCode,Kosovo (XK),xks,,
country,Country,CodedValue,CountryCode,Midway Island (QM),xmw,,
country,Country,CodedValue,CountryCode,Navassa Island (XV),xnv,,
country,Country,CodedValue,CountryCode,Palmyra Atoll (XL),xpl,,
country,Country,CodedValue,CountryCode,Paracel Islands (XP),xpr,,
country,Country,CodedValue,CountryCode,Akrotiri (QZ),xqz,,
country,Country,CodedValue,CountryCode,Spratly Islands (XS),xsp,,
country,Country,CodedValue,CountryCode,Svalbard (XR),xsv,,
country,Country,CodedValue,CountryCode,Tromelin Island (XT),xtr,,
country,Country,CodedValue,CountryCode,West Bank (XW),xwb,,
country,Country,CodedValue,CountryCode,Wake Island (QW),xwk,,
country,Country,CodedValue,CountryCode,Dhekelia Sovereign Base Area (XD),xxd,,
country,Country,CodedValue,CountryCode,Yemen (YE),yem,,
country,Country,CodedValue,CountryCode,South Africa (ZA),zaf,,
country,Country,CodedValue,CountryCode,Zambia (ZM),zmb,,
country,Country,CodedValue,CountryCode,Zimbabwe (ZW),zwe,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Attribute Survey Only,attrOnly,,
dataCollection,Data Collection,CodedValue,CollectionMethod,CAD As Built,cadAsBuilt,,
dataCollection,Data Collection,CodedValue,CollectionMethod,CAD Design,cadDesign,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Calculated,calculated,,
dataCollection,Data Collection,CodedValue,CollectionMethod,COGO,cogo,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Digitized Aerial,digitizedAerial,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Digitized Map,digitizedMap,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Digitized Satellite,digitizedSatellite,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Georeferenced CAD File,georeferencedCadFile,,
dataCollection,Data Collection,CodedValue,CollectionMethod,GPS Multi,gpsMulti,,
dataCollection,Data Collection,CodedValue,CollectionMethod,GPS Resource,gpsResource,,
dataCollection,Data Collection,CodedValue,CollectionMethod,GPS Survey,gpsSurvey,,
dataCollection,Data Collection,CodedValue,CollectionMethod,Imagery,imagery,,
